,index,topic_idx
0,45654,2
1,45655,3
2,45656,1
3,45657,1
4,45658,3
5,45659,2
6,45660,5
7,45661,3
8,45662,4
9,45663,4
10,45664,2
11,45665,2
12,45666,4
13,45667,0
14,45668,6
15,45669,1
16,45670,6
17,45671,2
18,45672,4
19,45673,3
20,45674,4
21,45675,1
22,45676,4
23,45677,3
24,45678,2
25,45679,2
26,45680,6
27,45681,2
28,45682,5
29,45683,3
30,45684,3
31,45685,4
32,45686,3
33,45687,5
34,45688,1
35,45689,4
36,45690,5
37,45691,4
38,45692,6
39,45693,5
40,45694,5
41,45695,5
42,45696,5
43,45697,6
44,45698,0
45,45699,5
46,45700,3
47,45701,6
48,45702,2
49,45703,3
50,45704,0
51,45705,4
52,45706,6
53,45707,4
54,45708,4
55,45709,0
56,45710,4
57,45711,6
58,45712,3
59,45713,3
60,45714,2
61,45715,4
62,45716,2
63,45717,4
64,45718,3
65,45719,2
66,45720,5
67,45721,5
68,45722,4
69,45723,0
70,45724,3
71,45725,0
72,45726,2
73,45727,3
74,45728,0
75,45729,5
76,45730,1
77,45731,1
78,45732,1
79,45733,3
80,45734,6
81,45735,1
82,45736,3
83,45737,6
84,45738,6
85,45739,5
86,45740,4
87,45741,1
88,45742,6
89,45743,1
90,45744,5
91,45745,5
92,45746,4
93,45747,0
94,45748,4
95,45749,3
96,45750,6
97,45751,4
98,45752,0
99,45753,1
100,45754,5
101,45755,0
102,45756,2
103,45757,6
104,45758,5
105,45759,4
106,45760,3
107,45761,4
108,45762,1
109,45763,3
110,45764,2
111,45765,2
112,45766,2
113,45767,4
114,45768,3
115,45769,5
116,45770,3
117,45771,3
118,45772,2
119,45773,3
120,45774,1
121,45775,3
122,45776,6
123,45777,1
124,45778,2
125,45779,1
126,45780,4
127,45781,3
128,45782,0
129,45783,4
130,45784,0
131,45785,3
132,45786,6
133,45787,4
134,45788,4
135,45789,3
136,45790,6
137,45791,3
138,45792,1
139,45793,0
140,45794,2
141,45795,2
142,45796,2
143,45797,3
144,45798,0
145,45799,2
146,45800,1
147,45801,3
148,45802,3
149,45803,6
150,45804,6
151,45805,3
152,45806,1
153,45807,6
154,45808,6
155,45809,3
156,45810,2
157,45811,3
158,45812,0
159,45813,6
160,45814,1
161,45815,4
162,45816,3
163,45817,1
164,45818,5
165,45819,3
166,45820,2
167,45821,1
168,45822,1
169,45823,4
170,45824,1
171,45825,2
172,45826,6
173,45827,2
174,45828,3
175,45829,4
176,45830,3
177,45831,3
178,45832,6
179,45833,2
180,45834,5
181,45835,1
182,45836,5
183,45837,5
184,45838,5
185,45839,1
186,45840,6
187,45841,5
188,45842,3
189,45843,2
190,45844,6
191,45845,3
192,45846,0
193,45847,4
194,45848,6
195,45849,3
196,45850,2
197,45851,0
198,45852,3
199,45853,0
200,45854,1
201,45855,3
202,45856,4
203,45857,6
204,45858,5
205,45859,3
206,45860,5
207,45861,5
208,45862,1
209,45863,1
210,45864,3
211,45865,1
212,45866,3
213,45867,0
214,45868,1
215,45869,0
216,45870,6
217,45871,0
218,45872,6
219,45873,4
220,45874,4
221,45875,3
222,45876,5
223,45877,1
224,45878,0
225,45879,5
226,45880,0
227,45881,2
228,45882,4
229,45883,1
230,45884,6
231,45885,3
232,45886,2
233,45887,6
234,45888,2
235,45889,4
236,45890,5
237,45891,2
238,45892,2
239,45893,1
240,45894,5
241,45895,5
242,45896,2
243,45897,4
244,45898,0
245,45899,3
246,45900,6
247,45901,4
248,45902,6
249,45903,4
250,45904,4
251,45905,5
252,45906,2
253,45907,5
254,45908,5
255,45909,4
256,45910,5
257,45911,4
258,45912,1
259,45913,4
260,45914,5
261,45915,4
262,45916,0
263,45917,3
264,45918,3
265,45919,2
266,45920,2
267,45921,2
268,45922,0
269,45923,5
270,45924,6
271,45925,1
272,45926,0
273,45927,3
274,45928,6
275,45929,2
276,45930,3
277,45931,2
278,45932,2
279,45933,4
280,45934,2
281,45935,4
282,45936,2
283,45937,4
284,45938,4
285,45939,6
286,45940,3
287,45941,2
288,45942,3
289,45943,2
290,45944,2
291,45945,2
292,45946,0
293,45947,4
294,45948,5
295,45949,2
296,45950,4
297,45951,3
298,45952,2
299,45953,1
300,45954,5
301,45955,6
302,45956,0
303,45957,4
304,45958,0
305,45959,6
306,45960,3
307,45961,2
308,45962,4
309,45963,6
310,45964,4
311,45965,0
312,45966,5
313,45967,3
314,45968,0
315,45969,1
316,45970,3
317,45971,5
318,45972,2
319,45973,6
320,45974,2
321,45975,4
322,45976,1
323,45977,0
324,45978,4
325,45979,2
326,45980,6
327,45981,0
328,45982,4
329,45983,5
330,45984,0
331,45985,2
332,45986,1
333,45987,1
334,45988,6
335,45989,1
336,45990,0
337,45991,2
338,45992,4
339,45993,3
340,45994,3
341,45995,5
342,45996,1
343,45997,3
344,45998,0
345,45999,1
346,46000,4
347,46001,1
348,46002,4
349,46003,3
350,46004,1
351,46005,4
352,46006,6
353,46007,4
354,46008,5
355,46009,3
356,46010,5
357,46011,3
358,46012,2
359,46013,4
360,46014,2
361,46015,2
362,46016,4
363,46017,1
364,46018,4
365,46019,0
366,46020,0
367,46021,0
368,46022,2
369,46023,5
370,46024,0
371,46025,1
372,46026,6
373,46027,4
374,46028,6
375,46029,2
376,46030,6
377,46031,4
378,46032,5
379,46033,5
380,46034,4
381,46035,1
382,46036,0
383,46037,6
384,46038,3
385,46039,0
386,46040,3
387,46041,3
388,46042,5
389,46043,4
390,46044,3
391,46045,4
392,46046,3
393,46047,4
394,46048,4
395,46049,6
396,46050,5
397,46051,2
398,46052,6
399,46053,5
400,46054,1
401,46055,2
402,46056,3
403,46057,4
404,46058,5
405,46059,0
406,46060,4
407,46061,6
408,46062,0
409,46063,5
410,46064,5
411,46065,0
412,46066,5
413,46067,2
414,46068,5
415,46069,6
416,46070,5
417,46071,1
418,46072,5
419,46073,3
420,46074,5
421,46075,5
422,46076,4
423,46077,6
424,46078,2
425,46079,6
426,46080,4
427,46081,2
428,46082,6
429,46083,1
430,46084,4
431,46085,1
432,46086,1
433,46087,3
434,46088,5
435,46089,3
436,46090,5
437,46091,3
438,46092,6
439,46093,6
440,46094,4
441,46095,1
442,46096,5
443,46097,0
444,46098,4
445,46099,2
446,46100,3
447,46101,3
448,46102,3
449,46103,0
450,46104,1
451,46105,4
452,46106,1
453,46107,0
454,46108,0
455,46109,1
456,46110,5
457,46111,0
458,46112,2
459,46113,3
460,46114,5
461,46115,2
462,46116,3
463,46117,1
464,46118,1
465,46119,6
466,46120,1
467,46121,5
468,46122,3
469,46123,0
470,46124,0
471,46125,2
472,46126,1
473,46127,5
474,46128,5
475,46129,6
476,46130,5
